6-digit activity code,6-digit activity code_text,Activity,AinsworthCode (Best guess),AinsworthMETS,AinsworthMajorHeading,AinsworthSpecific,Travel-related (Y/N),Notes
10101,t10101,Sleeping,7030,0.95,Inactivity ,Sleeping ,N,
10102,t10102,Sleeplessness,7011,1.3,Inactivity ,"lying quietly, doing nothing, lying in bed awake, listening to music (not talking or reading)",N,"Closest thing available for sleeplessness (doing nothing, but lay in bed)"
10199,t10199,"Sleeping, n.e.c.*",7030,0.95,Inactivity ,Sleeping ,N,
10201,t10201,"Washing, dressing and grooming oneself",1300,2.3,Self Care,"getting ready for bed, general, standing",N,"This seemed to be the most general entry, which could possibly include many of the examples shown for this broad category; likely still too specific  "
10299,t10299,"Grooming, n.e.c.*",13046,1.3,Self Care,"having hair or nails done by someone else, sitting",N,The only option which showed someone else was doing the self care act for you
10301,t10301,Health-related self care,13036,1.5,Self Care,"taking medication, sitting or standing",N,"The only option which specified health related activites, likely too specific to encompass the entire category "
10399,t10399,"Self care, n.e.c.*",13036,1.5,Self Care,"taking medication, sitting or standing",N,"Not a good fit, but the only option indicating some kind of health issue "
10401,t10401,Personal/Private activities,14020,1.8,Sexual Activity,"general, moderate effort",N,"The most general option, which seemed to encompass all examples "
10499,t10499,"Personal activities, n.e.c.*",14020,1.8,Sexual Activity ,"general, moderate effort",N,
10501,t10501,Personal emergencies,,,,,,
10599,t10599,"Personal care emergencies, n.e.c.*",,,,,,
19999,t19999,"Personal Care, n.e.c.*",1300,2.3,Self Care,"getting ready for bed, general, standing",N,"This seemed to be the most general entry, which could possibly include many of the examples shown for this broad category; likely still too specific  "
20101,t20101,Interior cleaning,5030,3.3,Home Activity ,"cleaning, house or cabin, general, moderate effort",N,The most general option for the tasks listed under examples
20102,t20102,Laundry,5095,2.3,Home Activity ,"laundry, putting away clothes, gathering clothes to pack, putting away laundry, implied walking",N,"I chose the laundry option that included implied walking because it seems that most of the examples included putting the items away in some capactiy, which typically implies walking "
20103,t20103,"Sewing, repairing, & maintaining textiles",5080,1.3,Home Activity ,"knitting, sewing, light effort, wrapping presents, sitting",N,"Chose this over sewing with a machine because most examples seemed to require hand sewing, not a machine"
