distType,roadType,mode,value
victim,minor,bus,0.5
victim,minor,car,0.5
victim,minor,bike,0.5
victim,minor,truck,0.5
victim,minor,motorcycle,0.5
victim,minor,walk,0.5
striking,minor,bus,0.5
striking,minor,car,0.5
striking,minor,bike,0.5
striking,minor,truck,0.5
striking,minor,motorcycle,0.5
striking,minor,walk,0.5
victim,major,bus,0.5
victim,major,car,0.5
victim,major,bike,0.5
victim,major,truck,0.5
victim,major,motorcycle,0.5
victim,major,walk,0.5
striking,major,bus,0.5
striking,major,car,0.5
striking,major,bike,0.5
striking,major,truck,0.5
striking,major,motorcycle,0.5
striking,major,walk,0.5
victim,motorOnly,bus,0.5
victim,motorOnly,car,0.5
victim,motorOnly,bike,0.5
victim,motorOnly,truck,0.5
victim,motorOnly,motorcycle,0.5
victim,motorOnly,walk,0.5
striking,motorOnly,bus,0.5
striking,motorOnly,car,0.5
striking,motorOnly,bike,0.5
striking,motorOnly,truck,0.5
striking,motorOnly,motorcycle,0.5
striking,motorOnly,walk,0.5
