ageClass,sex,mode,value
ageClass1,M,walk,21.47
ageClass2,M,walk,53.11
ageClass3,M,walk,50.13
ageClass4,M,walk,42.68
ageClass5,M,walk,52.61
ageClass6,M,walk,49.14
ageClass7,M,walk,39.71
ageClass8,M,walk,40.7
ageClass1,F,walk,17.23
ageClass2,F,walk,40.7
ageClass3,F,walk,49.63
ageClass4,F,walk,58.07
ageClass5,F,walk,58.07
ageClass6,F,walk,45.66
ageClass7,F,walk,37.22
ageClass8,F,walk,38.71
ageClass1,M,cycle,0.73
ageClass2,M,cycle,16.13
ageClass3,M,cycle,10
ageClass4,M,cycle,8.7
ageClass5,M,cycle,11.68
ageClass6,M,cycle,6.75
ageClass7,M,cycle,8.55
ageClass8,M,cycle,1.75
ageClass1,F,cycle,0.31
ageClass2,F,cycle,7.88
ageClass3,F,cycle,2.5
ageClass4,F,cycle,2.05
ageClass5,F,cycle,2.95
ageClass6,F,cycle,1.53
ageClass7,F,cycle,0.53
ageClass8,F,cycle,0.23
