ageClass,sex,mode,value
ageClass1,M,cycle,NA
ageClass1,M,walk,NA
ageClass1,F,cycle,NA
ageClass1,F,walk,NA
ageClass2,M,cycle,NA
ageClass2,M,walk,NA
ageClass2,F,cycle,NA
ageClass2,F,walk,NA
ageClass3,M,cycle,12.7647058823529
ageClass3,M,walk,48.5300059417706
ageClass3,F,cycle,11.7066666666667
ageClass3,F,walk,42.8088888888889
ageClass4,M,cycle,30.9200718455321
ageClass4,M,walk,28.7826672653794
ageClass4,F,cycle,15.0877616747182
ageClass4,F,walk,42.188808373591
ageClass5,M,cycle,23.895860453007
ageClass5,M,walk,27.0486852382192
ageClass5,F,cycle,11.8059016393443
ageClass5,F,walk,26.5556284153005
ageClass6,M,cycle,14.3675799086758
ageClass6,M,walk,27.3767123287671
ageClass6,F,cycle,3.74586776859504
ageClass6,F,walk,24.5578512396694
ageClass7,M,cycle,3.85057471264368
ageClass7,M,walk,18.5402298850575
ageClass7,F,cycle,0.852816901408451
ageClass7,F,walk,19.1957746478873
ageClass8,M,cycle,0
ageClass8,M,walk,9.76190476190476
ageClass8,F,cycle,0
ageClass8,F,walk,9.82232346241458
