disease,sex,ageClass,burdenType,value
BreastCancer,F,ageClass1,daly,0
BreastCancer,F,ageClass2,daly,0
BreastCancer,F,ageClass3,daly,38.57159393
BreastCancer,F,ageClass4,daly,752.6643529
BreastCancer,F,ageClass5,daly,2782.552528
BreastCancer,F,ageClass6,daly,2215.117419
BreastCancer,F,ageClass7,daly,1264.535133
BreastCancer,F,ageClass8,daly,733.2366202
BreastCancer,M,ageClass1,daly,0
BreastCancer,M,ageClass2,daly,0
BreastCancer,M,ageClass3,daly,0
BreastCancer,M,ageClass4,daly,0
BreastCancer,M,ageClass5,daly,6.067417713
BreastCancer,M,ageClass6,daly,17.9914011
BreastCancer,M,ageClass7,daly,8.74675804
BreastCancer,M,ageClass8,daly,5.508785327
BreastCancer,F,ageClass1,deaths,0
BreastCancer,F,ageClass2,deaths,0
BreastCancer,F,ageClass3,deaths,0.6
BreastCancer,F,ageClass4,deaths,16.8
BreastCancer,F,ageClass5,deaths,92.4
BreastCancer,F,ageClass6,deaths,107
BreastCancer,F,ageClass7,deaths,91.6
BreastCancer,F,ageClass8,deaths,104.8
BreastCancer,M,ageClass1,deaths,0
BreastCancer,M,ageClass2,deaths,0
BreastCancer,M,ageClass3,deaths,0
BreastCancer,M,ageClass4,deaths,0
BreastCancer,M,ageClass5,deaths,0.2
BreastCancer,M,ageClass6,deaths,1.2
BreastCancer,M,ageClass7,deaths,1
BreastCancer,M,ageClass8,deaths,1.6
BreastCancer,F,ageClass1,yld,0
BreastCancer,F,ageClass2,yld,0
BreastCancer,F,ageClass3,yld,4.932111869
BreastCancer,F,ageClass4,yld,57.94463087
BreastCancer,F,ageClass5,yld,366.0022548
BreastCancer,F,ageClass6,yld,445.9896882
BreastCancer,F,ageClass7,yld,380.9800306
BreastCancer,F,ageClass8,yld,327.2313056
BreastCancer,M,ageClass1,yld,0
BreastCancer,M,ageClass2,yld,0
BreastCancer,M,ageClass3,yld,0
BreastCancer,M,ageClass4,yld,0
BreastCancer,M,ageClass5,yld,0
BreastCancer,M,ageClass6,yld,0
BreastCancer,M,ageClass7,yld,0
BreastCancer,M,ageClass8,yld,0
BreastCancer,F,ageClass1,yll,0
BreastCancer,F,ageClass2,yll,0
BreastCancer,F,ageClass3,yll,33.63948206
BreastCancer,F,ageClass4,yll,694.719722
BreastCancer,F,ageClass5,yll,2416.550273
BreastCancer,F,ageClass6,yll,1769.127731
BreastCancer,F,ageClass7,yll,883.5551024
BreastCancer,F,ageClass8,yll,406.0053146
BreastCancer,M,ageClass1,yll,0
BreastCancer,M,ageClass2,yll,0
BreastCancer,M,ageClass3,yll,0
BreastCancer,M,ageClass4,yll,0
BreastCancer,M,ageClass5,yll,6.067417713
BreastCancer,M,ageClass6,yll,17.9914011
BreastCancer,M,ageClass7,yll,8.74675804
BreastCancer,M,ageClass8,yll,5.508785327
ColonCancer,F,ageClass1,daly,0
ColonCancer,F,ageClass2,daly,0
ColonCancer,F,ageClass3,daly,10.50089477
ColonCancer,F,ageClass4,daly,325.7954719
ColonCancer,F,ageClass5,daly,773.5105548
ColonCancer,F,ageClass6,daly,676.2326626
ColonCancer,F,ageClass7,daly,422.1596892
ColonCancer,F,ageClass8,daly,386.3542021
ColonCancer,M,ageClass1,daly,0
ColonCancer,M,ageClass2,daly,0
ColonCancer,M,ageClass3,daly,17.54998102
ColonCancer,M,ageClass4,daly,277.704735
ColonCancer,M,ageClass5,daly,900.8072771
ColonCancer,M,ageClass6,daly,759.0377096
ColonCancer,M,ageClass7,daly,428.1073083
ColonCancer,M,ageClass8,daly,220.743446
ColonCancer,F,ageClass1,deaths,0
ColonCancer,F,ageClass2,deaths,0
ColonCancer,F,ageClass3,deaths,0.16
ColonCancer,F,ageClass4,deaths,7.52
ColonCancer,F,ageClass5,deaths,27.68
ColonCancer,F,ageClass6,deaths,38.4
ColonCancer,F,ageClass7,deaths,41.12
ColonCancer,F,ageClass8,deaths,86.56
ColonCancer,M,ageClass1,deaths,0
ColonCancer,M,ageClass2,deaths,0
ColonCancer,M,ageClass3,deaths,0.304
ColonCancer,M,ageClass4,deaths,6.688
ColonCancer,M,ageClass5,deaths,35.416
ColonCancer,M,ageClass6,deaths,49.4
ColonCancer,M,ageClass7,deaths,48.032
ColonCancer,M,ageClass8,deaths,54.72
ColonCancer,F,ageClass1,yld,0
ColonCancer,F,ageClass2,yld,0
ColonCancer,F,ageClass3,yld,1.530366218
ColonCancer,F,ageClass4,yld,10.95617883
ColonCancer,F,ageClass5,yld,35.90397429
ColonCancer,F,ageClass6,yld,43.04451069
ColonCancer,F,ageClass7,yld,39.10103528
ColonCancer,F,ageClass8,yld,56.79903694
ColonCancer,M,ageClass1,yld,0
ColonCancer,M,ageClass2,yld,0
ColonCancer,M,ageClass3,yld,1.13752566
ColonCancer,M,ageClass4,yld,11.08922626
ColonCancer,M,ageClass5,yld,41.00229542
ColonCancer,M,ageClass6,yld,49.02715815
ColonCancer,M,ageClass7,yld,41.13157109
ColonCancer,M,ageClass8,yld,34.41697838
ColonCancer,F,ageClass1,yll,0
ColonCancer,F,ageClass2,yll,0
