distType,roadType,mode,value
person,arterial,walk,1
person,arterial,cycle,1
person,arterial,bus,1
person,arterial,car,1
person,arterial,HGV,1
person,arterial,LGV,1
person,arterial,mbike,1
person,highway,walk,2.1
person,highway,cycle,1.1
person,highway,bus,1
person,highway,car,1
person,highway,HGV,1
person,highway,LGV,1
person,highway,mbike,1
person,local,walk,1
person,local,cycle,1
person,local,bus,1
person,local,car,1
person,local,HGV,1
person,local,LGV,1
person,local,mbike,1
vehicle,arterial,walk,1
vehicle,arterial,cycle,1
vehicle,arterial,bus,1
vehicle,arterial,car,1
vehicle,arterial,HGV,1
vehicle,arterial,LGV,1
vehicle,arterial,mbike,1
vehicle,highway,walk,2.1
vehicle,highway,cycle,1.1
vehicle,highway,bus,1
vehicle,highway,car,1
vehicle,highway,HGV,1
vehicle,highway,LGV,1
vehicle,highway,mbike,1
vehicle,local,walk,1
vehicle,local,cycle,1
vehicle,local,bus,1
vehicle,local,car,1
vehicle,local,HGV,1
vehicle,local,LGV,1
vehicle,local,mbike,1
