distType,roadType,mode,value
person,minor,walk,0.31
person,minor,bike,0.09
person,minor,bus,0.01
person,minor,car,1.78
person,minor,truck,0.13
person,minor,motorcycle,0.01
person,major,walk,0.1
person,major,bike,0.08
person,major,bus,0.61
person,major,car,5.83
person,major,truck,0.45
person,major,motorcycle,0.04
person,motorOnly,walk,0
person,motorOnly,bike,0
person,motorOnly,bus,0.19
person,motorOnly,car,12.97
person,motorOnly,truck,1.28
person,motorOnly,motorcycle,0.08
vehicle,minor,walk,0.31
vehicle,minor,bike,0.09
vehicle,minor,bus,0.0006506833
vehicle,minor,car,1.34
vehicle,minor,truck,0.13
vehicle,minor,motorcycle,0.01
vehicle,major,walk,0.1
vehicle,major,bike,0.08
vehicle,major,bus,0.05
vehicle,major,car,4.41
vehicle,major,truck,0.45
vehicle,major,motorcycle,0.04
vehicle,motorOnly,walk,0
vehicle,motorOnly,bike,0
vehicle,motorOnly,bus,0.02
vehicle,motorOnly,car,9.82
vehicle,motorOnly,truck,1.28
vehicle,motorOnly,motorcycle,0.08
