distType,roadType,mode,value
person,local,walk,0.62
person,local,bike,0.27
person,local,bus,0.01
person,local,car,1.28
person,local,truck,0.13
person,local,motorcycle,0.01
person,arterial,walk,0.21
person,arterial,bike,0.24
person,arterial,bus,1.21
person,arterial,car,4.96
person,arterial,truck,0.45
person,arterial,motorcycle,0.04
person,highway,walk,0
person,highway,bike,0
person,highway,bus,0.38
person,highway,car,12.55
person,highway,truck,1.28
person,highway,motorcycle,0.08
vehicle,local,walk,0.62
vehicle,local,bike,0.27
vehicle,local,bus,0.0013012
vehicle,local,car,0.97
vehicle,local,truck,0.13
vehicle,local,motorcycle,0.01
vehicle,arterial,walk,0.21
vehicle,arterial,bike,0.24
vehicle,arterial,bus,0.11
vehicle,arterial,car,3.75
vehicle,arterial,truck,0.45
vehicle,arterial,motorcycle,0.04
vehicle,highway,walk,0
vehicle,highway,bike,0
vehicle,highway,bus,0.03
vehicle,highway,car,9.5
vehicle,highway,truck,1.28
vehicle,highway,motorcycle,0.08
