disease,sex,dproj,yll,yld,daly
BreastCancer,M,0,0,0,0
BreastCancer,M,0,0,0,0
BreastCancer,M,0,0,0,0
BreastCancer,M,0,0,0,0
BreastCancer,M,0,0,0,0
BreastCancer,M,0,0,0,0
BreastCancer,M,0,0,0,0
BreastCancer,M,0,0,0,0
BreastCancer,F,0,0,0,0
BreastCancer,F,0,0,0,0
BreastCancer,F,2.1492827174,128.5513090864,6.8143599316,135.3655412641
BreastCancer,F,51.4015194793,2399.116027234,177.2882186041,2576.4053799554
BreastCancer,F,211.4315834583,7153.5871167508,837.4938991035,7991.0968672738
BreastCancer,F,201.8366331554,4712.7868516758,841.2809073226,5554.0572004361
BreastCancer,F,162.4288015546,2399.4811474444,675.569102533,3075.0502499774
BreastCancer,F,242.6151719424,1328.460306641,757.550376571,2086.0106832121
ColonCancer,M,0,0,0,0
ColonCancer,M,0,0,0,0
ColonCancer,M,1.8186912896,111.2201774144,2.5882070007,113.8083297927
ColonCancer,M,16.2453875467,760.9969697523,26.2498016578,787.2456598198
ColonCancer,M,83.8471615311,2791.0615993592,127.7272124633,2918.7892731997
ColonCancer,M,90.3977210258,2092.916732185,118.0466483384,2210.9639951351
ColonCancer,M,103.2368176352,1525.3425527663,116.3230133737,1641.6647034629
ColonCancer,M,135.4655703487,862.261717013,112.1093895775,974.3722190876
ColonCancer,F,0,0,0,0
ColonCancer,F,0,0,0,0
ColonCancer,F,1.2397730408,75.4975125152,2.1259649401,77.6234829311
ColonCancer,F,10.7499852801,502.8684131698,19.0180032909,521.8860339879
ColonCancer,F,66.9806775145,2236.3529020718,108.6015409722,2344.9553833795
ColonCancer,F,75.8011782572,1750.5378940231,106.2117391974,1856.7482544382
ColonCancer,F,87.1024448337,1271.7809125688,103.5322157315,1375.3137168224
ColonCancer,F,199.0125480061,1089.7144313271,163.2353434968,1252.9497748239
HHD,M,0.2697030067,22.8627706159,0.0865002741,22.9492665537
HHD,M,0.1307971431,9.8547073166,0.3484720124,10.2031607664
HHD,M,2.7475434645,168.8071233439,3.9052591627,172.7122096775
HHD,M,30.1555580945,1413.8632337885,18.5397500249,1432.4014712176
HHD,M,134.3293042393,4554.5939527551,63.0699535699,4617.6631860825
HHD,M,145.9803153213,3407.6939922705,76.1132399191,3483.7996737789
HHD,M,149.06440649,2189.8715795954,80.2519314684,2270.1272289121
