disease,sex,ageClass,burdenType,value
BreastCancer,M,ageClass1,deaths,0
BreastCancer,M,ageClass2,deaths,0
BreastCancer,M,ageClass3,deaths,0
BreastCancer,M,ageClass4,deaths,0
BreastCancer,M,ageClass5,deaths,0
BreastCancer,M,ageClass6,deaths,0
BreastCancer,M,ageClass7,deaths,0
BreastCancer,M,ageClass8,deaths,0
BreastCancer,F,ageClass1,deaths,0
BreastCancer,F,ageClass2,deaths,0
BreastCancer,F,ageClass3,deaths,93.86339504
BreastCancer,F,ageClass4,deaths,2491.281564
BreastCancer,F,ageClass5,deaths,10441.6258
BreastCancer,F,ageClass6,deaths,9128.018531
BreastCancer,F,ageClass7,deaths,8283.692929
BreastCancer,F,ageClass8,deaths,11673.62659
ColonCancer,M,ageClass1,deaths,0
ColonCancer,M,ageClass2,deaths,0
ColonCancer,M,ageClass3,deaths,74.96278975
ColonCancer,M,ageClass4,deaths,588.3971879
ColonCancer,M,ageClass5,deaths,3852.961683
ColonCancer,M,ageClass6,deaths,5015.542274
ColonCancer,M,ageClass7,deaths,5893.512787
ColonCancer,M,ageClass8,deaths,6872.858179
ColonCancer,F,ageClass1,deaths,0
ColonCancer,F,ageClass2,deaths,0
ColonCancer,F,ageClass3,deaths,48.46395275
ColonCancer,F,ageClass4,deaths,505.6173176
ColonCancer,F,ageClass5,deaths,3011.111843
ColonCancer,F,ageClass6,deaths,3780.280694
ColonCancer,F,ageClass7,deaths,5306.262561
ColonCancer,F,ageClass8,deaths,10395.94264
Dementia,M,ageClass1,deaths,0
Dementia,M,ageClass2,deaths,19.28099047
Dementia,M,ageClass3,deaths,19.22945684
Dementia,M,ageClass4,deaths,41.36583637
Dementia,M,ageClass5,deaths,511.9897963
Dementia,M,ageClass6,deaths,2127.895801
Dementia,M,ageClass7,deaths,9456.79296
Dementia,M,ageClass8,deaths,38188.54247
Dementia,F,ageClass1,deaths,0
Dementia,F,ageClass2,deaths,14.9209758
Dementia,F,ageClass3,deaths,13.26394598
Dementia,F,ageClass4,deaths,31.98433626
Dementia,F,ageClass5,deaths,475.0735372
Dementia,F,ageClass6,deaths,2084.484105
Dementia,F,ageClass7,deaths,11426.43584
Dementia,F,ageClass8,deaths,94572.31065
Diabetes,M,ageClass1,deaths,14.62947536
Diabetes,M,ageClass2,deaths,13.30482999
Diabetes,M,ageClass3,deaths,239.0411344
Diabetes,M,ageClass4,deaths,1412.028808
Diabetes,M,ageClass5,deaths,6684.583335
