disease,sex,ageClass,burdenType,value
BreastCancer,M,ageClass1,dproj,0
BreastCancer,M,ageClass2,dproj,0
BreastCancer,M,ageClass3,dproj,0
BreastCancer,M,ageClass4,dproj,0
BreastCancer,M,ageClass5,dproj,0
BreastCancer,M,ageClass6,dproj,0
BreastCancer,M,ageClass7,dproj,0
BreastCancer,M,ageClass8,dproj,0
BreastCancer,M,ageClass1,yll,0
BreastCancer,M,ageClass2,yll,0
BreastCancer,M,ageClass3,yll,0
BreastCancer,M,ageClass4,yll,0
BreastCancer,M,ageClass5,yll,0
BreastCancer,M,ageClass6,yll,0
BreastCancer,M,ageClass7,yll,0
BreastCancer,M,ageClass8,yll,0
BreastCancer,M,ageClass1,yld,0
BreastCancer,M,ageClass2,yld,0
BreastCancer,M,ageClass3,yld,0
BreastCancer,M,ageClass4,yld,0
BreastCancer,M,ageClass5,yld,0
BreastCancer,M,ageClass6,yld,0
BreastCancer,M,ageClass7,yld,0
BreastCancer,M,ageClass8,yld,0
BreastCancer,M,ageClass1,daly,0
BreastCancer,M,ageClass2,daly,0
BreastCancer,M,ageClass3,daly,0
BreastCancer,M,ageClass4,daly,0
BreastCancer,M,ageClass5,daly,0
BreastCancer,M,ageClass6,daly,0
BreastCancer,M,ageClass7,daly,0
BreastCancer,M,ageClass8,daly,0
BreastCancer,F,ageClass1,dproj,0
BreastCancer,F,ageClass2,dproj,0
BreastCancer,F,ageClass3,dproj,93.86339504
BreastCancer,F,ageClass4,dproj,2491.281564
BreastCancer,F,ageClass5,dproj,10441.6258
BreastCancer,F,ageClass6,dproj,9128.018531
BreastCancer,F,ageClass7,dproj,8283.692929
BreastCancer,F,ageClass8,dproj,11673.62659
BreastCancer,F,ageClass1,yll,0
BreastCancer,F,ageClass2,yll,0
BreastCancer,F,ageClass3,yll,5614.087998
BreastCancer,F,ageClass4,yll,116278.1488
BreastCancer,F,ageClass5,yll,353282.5067
BreastCancer,F,ageClass6,yll,213134.7766
BreastCancer,F,ageClass7,yll,122370.9393
BreastCancer,F,ageClass8,yll,63919.94957
BreastCancer,F,ageClass1,yld,0
BreastCancer,F,ageClass2,yld,0
BreastCancer,F,ageClass3,yld,297.5964739
BreastCancer,F,ageClass4,yld,8592.642301
BreastCancer,F,ageClass5,yld,41359.94141
BreastCancer,F,ageClass6,yld,38046.74896
BreastCancer,F,ageClass7,yld,34453.29242
BreastCancer,F,ageClass8,yld,36450.15333
BreastCancer,F,ageClass1,daly,0
BreastCancer,F,ageClass2,daly,0
BreastCancer,F,ageClass3,daly,5911.678892
BreastCancer,F,ageClass4,daly,124870.8461
BreastCancer,F,ageClass5,daly,394643.231
BreastCancer,F,ageClass6,daly,251181.048
BreastCancer,F,ageClass7,daly,156824.2317
BreastCancer,F,ageClass8,daly,100370.1029
ColonCancer,M,ageClass1,dproj,0
ColonCancer,M,ageClass2,dproj,0
ColonCancer,M,ageClass3,dproj,74.96278975
ColonCancer,M,ageClass4,dproj,588.3971879
ColonCancer,M,ageClass5,dproj,3852.961683
ColonCancer,M,ageClass6,dproj,5015.542274
ColonCancer,M,ageClass7,dproj,5893.512787
ColonCancer,M,ageClass8,dproj,6872.858179
ColonCancer,M,ageClass1,yll,0
ColonCancer,M,ageClass2,yll,0
ColonCancer,M,ageClass3,yll,4584.271571
ColonCancer,M,ageClass4,yll,27562.80672
ColonCancer,M,ageClass5,yll,128255.4257
ColonCancer,M,ageClass6,yll,116121.4268
ColonCancer,M,ageClass7,yll,87077.71166
ColonCancer,M,ageClass8,yll,43746.92757
ColonCancer,M,ageClass1,yld,0
ColonCancer,M,ageClass2,yld,0
ColonCancer,M,ageClass3,yld,106.6806765
ColonCancer,M,ageClass4,yld,950.7504475
ColonCancer,M,ageClass5,yld,5869.346636
ColonCancer,M,ageClass6,yld,6549.589396
ColonCancer,M,ageClass7,yld,6640.568572
ColonCancer,M,ageClass8,yld,5687.880198
ColonCancer,M,ageClass1,daly,0
ColonCancer,M,ageClass2,daly,0
ColonCancer,M,ageClass3,daly,4690.949996
ColonCancer,M,ageClass4,daly,28513.51691
ColonCancer,M,ageClass5,daly,134124.7936
ColonCancer,M,ageClass6,daly,122671.0503
ColonCancer,M,ageClass7,daly,93718.23098
ColonCancer,M,ageClass8,daly,49434.86421
ColonCancer,F,ageClass1,dproj,0
ColonCancer,F,ageClass2,dproj,0
ColonCancer,F,ageClass3,dproj,48.46395275
ColonCancer,F,ageClass4,dproj,505.6173176
ColonCancer,F,ageClass5,dproj,3011.111843
ColonCancer,F,ageClass6,dproj,3780.280694
ColonCancer,F,ageClass7,dproj,5306.262561
ColonCancer,F,ageClass8,dproj,10395.94264
ColonCancer,F,ageClass1,yll,0
ColonCancer,F,ageClass2,yll,0
ColonCancer,F,ageClass3,yll,2951.272337
ColonCancer,F,ageClass4,yll,23652.03036
ColonCancer,F,ageClass5,yll,100535.094
ColonCancer,F,ageClass6,yll,87301.07839
ColonCancer,F,ageClass7,yll,77476.62485
ColonCancer,F,ageClass8,yll,56924.09266
ColonCancer,F,ageClass1,yld,0
ColonCancer,F,ageClass2,yld,0
ColonCancer,F,ageClass3,yld,83.10606942
ColonCancer,F,ageClass4,yld,894.4972071
ColonCancer,F,ageClass5,yld,4882.174955
ColonCancer,F,ageClass6,yld,5296.885832
ColonCancer,F,ageClass7,yld,6307.160737
ColonCancer,F,ageClass8,yld,8527.026486
ColonCancer,F,ageClass1,daly,0
ColonCancer,F,ageClass2,daly,0
ColonCancer,F,ageClass3,daly,3034.37862
ColonCancer,F,ageClass4,daly,24546.50957
ColonCancer,F,ageClass5,daly,105417.3112
ColonCancer,F,ageClass6,daly,92597.89546
ColonCancer,F,ageClass7,daly,83783.82144
ColonCancer,F,ageClass8,daly,65451.11915
Dementia,M,ageClass1,dproj,0
Dementia,M,ageClass2,dproj,19.28099047
Dementia,M,ageClass3,dproj,19.22945684
Dementia,M,ageClass4,dproj,41.36583637
Dementia,M,ageClass5,dproj,511.9897963
Dementia,M,ageClass6,dproj,2127.895801
Dementia,M,ageClass7,dproj,9456.79296
Dementia,M,ageClass8,dproj,38188.54247
Dementia,M,ageClass1,yll,0
Dementia,M,ageClass2,yll,1470.001391
Dementia,M,ageClass3,yll,1232.483837
Dementia,M,ageClass4,yll,1942.876054
Dementia,M,ageClass5,yll,16454.79992
Dementia,M,ageClass6,yll,48011.38886
Dementia,M,ageClass7,yll,133718.6589
Dementia,M,ageClass8,yll,243076.7029
Dementia,M,ageClass1,yld,0
Dementia,M,ageClass2,yld,0
Dementia,M,ageClass3,yld,0
Dementia,M,ageClass4,yld,299.8503937
Dementia,M,ageClass5,yld,23437.80136
Dementia,M,ageClass6,yld,35533.80996
Dementia,M,ageClass7,yld,70054.67917
Dementia,M,ageClass8,yld,168826.212
Dementia,M,ageClass1,daly,0
Dementia,M,ageClass2,daly,1470.001391
Dementia,M,ageClass3,daly,1232.483837
Dementia,M,ageClass4,daly,2242.729498
Dementia,M,ageClass5,daly,39892.52276
Dementia,M,ageClass6,daly,83545.29354
Dementia,M,ageClass7,daly,203773.6312
Dementia,M,ageClass8,daly,411902.9149
Dementia,F,ageClass1,dproj,0
Dementia,F,ageClass2,dproj,14.9209758
Dementia,F,ageClass3,dproj,13.26394598
Dementia,F,ageClass4,dproj,31.98433626
Dementia,F,ageClass5,dproj,475.0735372
Dementia,F,ageClass6,dproj,2084.484105
Dementia,F,ageClass7,dproj,11426.43584
Dementia,F,ageClass8,dproj,94572.31065
Dementia,F,ageClass1,yll,0
Dementia,F,ageClass2,yll,1141.433845
Dementia,F,ageClass3,yll,851.4484606
Dementia,F,ageClass4,yll,1511.554371
Dementia,F,ageClass5,yll,15222.52354
Dementia,F,ageClass6,yll,46912.8444
Dementia,F,ageClass7,yll,159643.3448
Dementia,F,ageClass8,yll,517839.9507
Dementia,F,ageClass1,yld,0
Dementia,F,ageClass2,yld,0
Dementia,F,ageClass3,yld,0
Dementia,F,ageClass4,yld,344.7912474
Dementia,F,ageClass5,yld,31992.18946
Dementia,F,ageClass6,yld,49406.96796
Dementia,F,ageClass7,yld,102226.7346
Dementia,F,ageClass8,yld,344063.4933
Dementia,F,ageClass1,daly,0
Dementia,F,ageClass2,daly,1141.433845
Dementia,F,ageClass3,daly,851.4484606
Dementia,F,ageClass4,daly,1856.343619
Dementia,F,ageClass5,daly,47214.68364
Dementia,F,ageClass6,daly,96319.81236
Dementia,F,ageClass7,daly,261869.7807
Dementia,F,ageClass8,daly,861903.444
Depression,M,ageClass1,dproj,0
Depression,M,ageClass2,dproj,0
Depression,M,ageClass3,dproj,0
Depression,M,ageClass4,dproj,0
Depression,M,ageClass5,dproj,0
Depression,M,ageClass6,dproj,0
Depression,M,ageClass7,dproj,0
Depression,M,ageClass8,dproj,0
Depression,M,ageClass1,yll,0
Depression,M,ageClass2,yll,0
Depression,M,ageClass3,yll,0
Depression,M,ageClass4,yll,0
Depression,M,ageClass5,yll,0
Depression,M,ageClass6,yll,0
Depression,M,ageClass7,yll,0
Depression,M,ageClass8,yll,0
Depression,M,ageClass1,yld,55.9606171
Depression,M,ageClass2,yld,87164.61477
Depression,M,ageClass3,yld,258703.9002
Depression,M,ageClass4,yld,288361.9593
Depression,M,ageClass5,yld,291442.8825
Depression,M,ageClass6,yld,102534.561
Depression,M,ageClass7,yld,48457.02292
Depression,M,ageClass8,yld,29506.46872
Depression,M,ageClass1,daly,55.9606171
Depression,M,ageClass2,daly,87164.61477
Depression,M,ageClass3,daly,258703.9002
Depression,M,ageClass4,daly,288361.9593
Depression,M,ageClass5,daly,291442.8825
Depression,M,ageClass6,daly,102534.561
Depression,M,ageClass7,daly,48457.02292
Depression,M,ageClass8,daly,29506.46872
Depression,F,ageClass1,dproj,0
Depression,F,ageClass2,dproj,0
Depression,F,ageClass3,dproj,0
Depression,F,ageClass4,dproj,0
Depression,F,ageClass5,dproj,0
Depression,F,ageClass6,dproj,0
Depression,F,ageClass7,dproj,0
Depression,F,ageClass8,dproj,0
Depression,F,ageClass1,yll,0
Depression,F,ageClass2,yll,0
Depression,F,ageClass3,yll,0
Depression,F,ageClass4,yll,0
Depression,F,ageClass5,yll,0
Depression,F,ageClass6,yll,0
Depression,F,ageClass7,yll,0
Depression,F,ageClass8,yll,0
Depression,F,ageClass1,yld,92.71428918
Depression,F,ageClass2,yld,139231.9076
Depression,F,ageClass3,yld,401648.6585
Depression,F,ageClass4,yld,468239.938
Depression,F,ageClass5,yld,510063.4104
Depression,F,ageClass6,yld,193974.9301
Depression,F,ageClass7,yld,106012.5743
Depression,F,ageClass8,yld,92457.41071
