disease,sex,ageClass,dproj,yll,yld,daly
BreastCancer,M,ageClass1,0,0,0,0
BreastCancer,M,ageClass2,0,0,0,0
BreastCancer,M,ageClass3,0,0,0,0
BreastCancer,M,ageClass4,0,0,0,0
BreastCancer,M,ageClass5,0,0,0,0
BreastCancer,M,ageClass6,0,0,0,0
BreastCancer,M,ageClass7,0,0,0,0
BreastCancer,M,ageClass8,0,0,0,0
BreastCancer,F,ageClass1,0,0,0,0
BreastCancer,F,ageClass2,0,0,0,0
BreastCancer,F,ageClass3,93.86339504,5614.087998,297.5964739,5911.678892
BreastCancer,F,ageClass4,2491.281564,116278.1488,8592.642301,124870.8461
BreastCancer,F,ageClass5,10441.6258,353282.5067,41359.94141,394643.231
BreastCancer,F,ageClass6,9128.018531,213134.7766,38046.74896,251181.048
BreastCancer,F,ageClass7,8283.692929,122370.9393,34453.29242,156824.2317
BreastCancer,F,ageClass8,11673.62659,63919.94957,36450.15333,100370.1029
ColonCancer,M,ageClass1,0,0,0,0
ColonCancer,M,ageClass2,0,0,0,0
ColonCancer,M,ageClass3,74.96278975,4584.271571,106.6806765,4690.949996
ColonCancer,M,ageClass4,588.3971879,27562.80672,950.7504475,28513.51691
ColonCancer,M,ageClass5,3852.961683,128255.4257,5869.346636,134124.7936
ColonCancer,M,ageClass6,5015.542274,116121.4268,6549.589396,122671.0503
ColonCancer,M,ageClass7,5893.512787,87077.71166,6640.568572,93718.23098
ColonCancer,M,ageClass8,6872.858179,43746.92757,5687.880198,49434.86421
ColonCancer,F,ageClass1,0,0,0,0
ColonCancer,F,ageClass2,0,0,0,0
ColonCancer,F,ageClass3,48.46395275,2951.272337,83.10606942,3034.37862
ColonCancer,F,ageClass4,505.6173176,23652.03036,894.4972071,24546.50957
ColonCancer,F,ageClass5,3011.111843,100535.094,4882.174955,105417.3112
ColonCancer,F,ageClass6,3780.280694,87301.07839,5296.885832,92597.89546
ColonCancer,F,ageClass7,5306.262561,77476.62485,6307.160737,83783.82144
ColonCancer,F,ageClass8,10395.94264,56924.09266,8527.026486,65451.11915
HHD,M,ageClass1,12.42893824,1053.603248,3.986260951,1057.589309
HHD,M,ageClass2,5.942653602,447.7399928,15.83252057,463.57167
HHD,M,ageClass3,120.2686724,7389.222003,170.9455523,7560.15999
HHD,M,ageClass4,891.8405768,41814.53376,548.3069259,42362.79595
HHD,M,ageClass5,3844.324705,130346.3764,1804.977567,132151.3334
HHD,M,ageClass6,3128.374535,73027.26457,1631.115271,74658.21787
HHD,M,ageClass7,3212.576738,47195.24037,1729.557674,48924.87817
HHD,M,ageClass8,6675.773017,42492.48986,2009.260045,44501.7891
HHD,F,ageClass1,7.284231547,617.2967102,2.518296681,619.8149754
HHD,F,ageClass2,3.016319308,229.0316711,11.36413767,240.3970648
HHD,F,ageClass3,31.84091862,1954.698198,135.5252185,2090.222822
HHD,F,ageClass4,346.664435,16084.55826,583.0017872,16667.59203
HHD,F,ageClass5,1844.271641,62130.13306,2029.646321,64159.71284
HHD,F,ageClass6,2212.34566,51044.72738,2013.61608,53058.28615
HHD,F,ageClass7,3940.205237,56766.88063,2595.01415,59362.01429
HHD,F,ageClass8,18212.61444,99725.02981,4733.743429,104458.9367
IHD,M,ageClass1,82.42690605,7001.763518,61.78373705,7063.552724
IHD,M,ageClass2,44.77370162,3374.947255,244.6061597,3619.546469
IHD,M,ageClass3,607.0701776,37553.56158,6196.144192,43749.76731
