"disease","sex","ageClass","burdenType","value"
"BreastCancer","F","ageClass1","daly",0
"BreastCancer","F","ageClass1","deaths",0
"BreastCancer","F","ageClass1","yld",0
"BreastCancer","F","ageClass1","yll",0
"BreastCancer","F","ageClass2","daly",0
"BreastCancer","F","ageClass2","deaths",0
"BreastCancer","F","ageClass2","yld",0
"BreastCancer","F","ageClass2","yll",0
"BreastCancer","F","ageClass3","daly",18.9094762286585
"BreastCancer","F","ageClass3","deaths",0.311511770516196
"BreastCancer","F","ageClass3","yld",1.54593474479397
"BreastCancer","F","ageClass3","yll",17.3635414838646
"BreastCancer","F","ageClass4","daly",382.314484549498
"BreastCancer","F","ageClass4","deaths",8.07988454778329
"BreastCancer","F","ageClass4","yld",27.8682099773228
"BreastCancer","F","ageClass4","yll",354.446274572175
"BreastCancer","F","ageClass5","daly",1511.97464860322
"BreastCancer","F","ageClass5","deaths",44.4054199388394
"BreastCancer","F","ageClass5","yld",175.892682056414
"BreastCancer","F","ageClass5","yll",1336.08196654681
"BreastCancer","F","ageClass6","daly",1215.72774017114
"BreastCancer","F","ageClass6","deaths",49.5026316017091
"BreastCancer","F","ageClass6","yld",206.333301233126
"BreastCancer","F","ageClass6","yll",1009.39443893802
"BreastCancer","F","ageClass7","daly",675.198214490289
"BreastCancer","F","ageClass7","deaths",40.3435809748346
"BreastCancer","F","ageClass7","yld",167.7958375071
"BreastCancer","F","ageClass7","yll",507.40237698319
"BreastCancer","F","ageClass8","daly",388.631496902578
"BreastCancer","F","ageClass8","deaths",45.1881350476122
"BreastCancer","F","ageClass8","yld",141.097065149716
"BreastCancer","F","ageClass8","yll",247.534431752862
"BreastCancer","M","ageClass1","daly",0
"BreastCancer","M","ageClass1","deaths",0
"BreastCancer","M","ageClass1","yld",0
"BreastCancer","M","ageClass1","yll",0
"BreastCancer","M","ageClass2","daly",0
"BreastCancer","M","ageClass2","deaths",0
"BreastCancer","M","ageClass2","yld",0
"BreastCancer","M","ageClass2","yll",0
"BreastCancer","M","ageClass3","daly",0
"BreastCancer","M","ageClass3","deaths",0
"BreastCancer","M","ageClass3","yld",0
"BreastCancer","M","ageClass3","yll",0
"BreastCancer","M","ageClass4","daly",0
"BreastCancer","M","ageClass4","deaths",0
"BreastCancer","M","ageClass4","yld",0
"BreastCancer","M","ageClass4","yll",0
"BreastCancer","M","ageClass5","daly",3.36583882057238
"BreastCancer","M","ageClass5","deaths",0.101362173504586
"BreastCancer","M","ageClass5","yld",0
"BreastCancer","M","ageClass5","yll",3.36583882057238
"BreastCancer","M","ageClass6","daly",8.48804608207343
"BreastCancer","M","ageClass6","deaths",0.475161987041037
"BreastCancer","M","ageClass6","yld",0
"BreastCancer","M","ageClass6","yll",8.48804608207343
"BreastCancer","M","ageClass7","daly",3.95878778037979
"BreastCancer","M","ageClass7","deaths",0.35724783679349
"BreastCancer","M","ageClass7","yld",0
"BreastCancer","M","ageClass7","yll",3.95878778037979
"BreastCancer","M","ageClass8","daly",2.7399037431158
"BreastCancer","M","ageClass8","deaths",0.596356284398517
"BreastCancer","M","ageClass8","yld",0
"BreastCancer","M","ageClass8","yll",2.7399037431158
"ColonCancer","F","ageClass1","daly",0
"ColonCancer","F","ageClass1","deaths",0
"ColonCancer","F","ageClass1","yld",0
"ColonCancer","F","ageClass1","yll",0
"ColonCancer","F","ageClass2","daly",0
"ColonCancer","F","ageClass2","deaths",0
"ColonCancer","F","ageClass2","yld",0
"ColonCancer","F","ageClass2","yll",0
"ColonCancer","F","ageClass3","daly",5.22988048848511
"ColonCancer","F","ageClass3","deaths",0.0830698054709857
"ColonCancer","F","ageClass3","yld",0.599602759454534
"ColonCancer","F","ageClass3","yll",4.63027772903055
"ColonCancer","F","ageClass4","daly",179.534610048968
"ColonCancer","F","ageClass4","deaths",3.89605391893112
"ColonCancer","F","ageClass4","yld",7.27039122073232
"ColonCancer","F","ageClass4","yll",172.264218828235
"ColonCancer","F","ageClass5","daly",432.703088200776
"ColonCancer","F","ageClass5","deaths",13.4416406301352
"ColonCancer","F","ageClass5","yld",21.7940895762162
"ColonCancer","F","ageClass5","yll",410.90899862456
"ColonCancer","F","ageClass6","daly",378.680431267633
"ColonCancer","F","ageClass6","deaths",17.4125988202121
"ColonCancer","F","ageClass6","yld",24.3983332075362
"ColonCancer","F","ageClass6","yll",354.282098060097
"ColonCancer","F","ageClass7","daly",246.266367028563
"ColonCancer","F","ageClass7","deaths",18.4108351053749
"ColonCancer","F","ageClass7","yld",21.8835941467172
"ColonCancer","F","ageClass7","yll",224.382772881846
"ColonCancer","F","ageClass8","daly",234.406294732448
"ColonCancer","F","ageClass8","deaths",37.6200408851666
"ColonCancer","F","ageClass8","yld",30.8569502666101
"ColonCancer","F","ageClass8","yll",203.549344465838
"ColonCancer","M","ageClass1","daly",0
"ColonCancer","M","ageClass1","deaths",0
"ColonCancer","M","ageClass1","yld",0
"ColonCancer","M","ageClass1","yll",0
"ColonCancer","M","ageClass2","daly",0
"ColonCancer","M","ageClass2","deaths",0
"ColonCancer","M","ageClass2","yld",0
"ColonCancer","M","ageClass2","yll",0
"ColonCancer","M","ageClass3","daly",8.97293792125691
"ColonCancer","M","ageClass3","deaths",0.155494783273811
"ColonCancer","M","ageClass3","yld",0.731493916142211
"ColonCancer","M","ageClass3","yll",8.24144400511468
"ColonCancer","M","ageClass4","daly",159.248308379552
"ColonCancer","M","ageClass4","deaths",3.64388472377566
"ColonCancer","M","ageClass4","yld",7.79449470679353
"ColonCancer","M","ageClass4","yll",151.453813672759
"ColonCancer","M","ageClass5","daly",501.565644724901
"ColonCancer","M","ageClass5","deaths",17.2558964174207
"ColonCancer","M","ageClass5","yld",26.2864896998828
"ColonCancer","M","ageClass5","yll",475.279155025018
"ColonCancer","M","ageClass6","daly",418.486517696344
"ColonCancer","M","ageClass6","deaths",22.3174082073434
"ColonCancer","M","ageClass6","yld",29.1433811448102
"ColonCancer","M","ageClass6","yll",389.343136551533
"ColonCancer","M","ageClass7","daly",232.058378498147
"ColonCancer","M","ageClass7","deaths",20.0916183412659
"ColonCancer","M","ageClass7","yld",22.6384117851179
"ColonCancer","M","ageClass7","yll",209.419966713029
"ColonCancer","M","ageClass8","daly",121.969874714386
"ColonCancer","M","ageClass8","deaths",21.8198245085926
"ColonCancer","M","ageClass8","yld",18.0577780763755
"ColonCancer","M","ageClass8","yll",103.912096638011
"CVD","F","ageClass1","daly",17.8357132072118
"CVD","F","ageClass1","deaths",0.212012528674784
"CVD","F","ageClass1","yld",0.586585886760032
"CVD","F","ageClass1","yll",17.2491273204517
"CVD","F","ageClass2","daly",17.3228839249457
"CVD","F","ageClass2","deaths",0.203870454100357
"CVD","F","ageClass2","yld",2.43784743996602
"CVD","F","ageClass2","yll",14.8850364849797
"CVD","F","ageClass3","daly",83.7831858995229
"CVD","F","ageClass3","deaths",0.934535311548589
"CVD","F","ageClass3","yld",29.7207334754644
"CVD","F","ageClass3","yll",54.0624524240585
"CVD","F","ageClass4","daly",437.193408314428
"CVD","F","ageClass4","deaths",6.97305104808695
"CVD","F","ageClass4","yld",130.909773751023
"CVD","F","ageClass4","yll",306.283634563405
"CVD","F","ageClass5","daly",1103.46611737183
"CVD","F","ageClass5","deaths",31.5038452268793
"CVD","F","ageClass5","yld",157.31161373156
"CVD","F","ageClass5","yll",946.154503640273
"CVD","F","ageClass6","daly",1267.41277620714
"CVD","F","ageClass6","deaths",54.992223043922
"CVD","F","ageClass6","yld",171.440214702991
"CVD","F","ageClass6","yll",1095.97256150414
"CVD","F","ageClass7","daly",1111.44701441251
"CVD","F","ageClass7","deaths",81.0598509194136
"CVD","F","ageClass7","yld",129.227191268158
"CVD","F","ageClass7","yll",982.219823144355
"CVD","F","ageClass8","daly",1880.48081263729
"CVD","F","ageClass8","deaths",353.422649721975
"CVD","F","ageClass8","yld",144.734742648265
"CVD","F","ageClass8","yll",1735.74606998902
"CVD","M","ageClass1","daly",43.369441745161
"CVD","M","ageClass1","deaths",0.528477345732432
"CVD","M","ageClass1","yld",1.35430897017829
"CVD","M","ageClass1","yll",42.0151327749828
"CVD","M","ageClass2","daly",26.2179631066688
"CVD","M","ageClass2","deaths",0.306193351472416
"CVD","M","ageClass2","yld",5.5596390326703
"CVD","M","ageClass2","yll",20.6583240739985
"CVD","M","ageClass3","daly",248.469761059522
"CVD","M","ageClass3","deaths",3.58047198327855
"CVD","M","ageClass3","yld",50.3388573541351
"CVD","M","ageClass3","yll",198.130903705387
