"disease","sex","ageClass","burdenType","value"
"BreastCancer","F","ageClass1","daly",0
"BreastCancer","F","ageClass1","deaths",0
"BreastCancer","F","ageClass1","yld",0
"BreastCancer","F","ageClass1","yll",0
"BreastCancer","F","ageClass2","daly",0
"BreastCancer","F","ageClass2","deaths",0
"BreastCancer","F","ageClass2","yld",0
"BreastCancer","F","ageClass2","yll",0
"BreastCancer","F","ageClass3","daly",12.271113258087
"BreastCancer","F","ageClass3","deaths",0.192415778249091
"BreastCancer","F","ageClass3","yld",1.54593474479397
"BreastCancer","F","ageClass3","yll",10.725178513293
"BreastCancer","F","ageClass4","daly",362.805600682364
"BreastCancer","F","ageClass4","deaths",7.10187940891872
"BreastCancer","F","ageClass4","yld",50.284949875991
"BreastCancer","F","ageClass4","yll",312.520650806372
"BreastCancer","F","ageClass5","daly",1412.13671827376
"BreastCancer","F","ageClass5","deaths",41.463345892477
"BreastCancer","F","ageClass5","yld",164.238940338939
"BreastCancer","F","ageClass5","yll",1247.89777793482
"BreastCancer","F","ageClass6","daly",1268.51004144934
"BreastCancer","F","ageClass6","deaths",51.8745173995005
"BreastCancer","F","ageClass6","yld",216.21962466627
"BreastCancer","F","ageClass6","yll",1052.29041678307
"BreastCancer","F","ageClass7","daly",627.086129430294
"BreastCancer","F","ageClass7","deaths",37.6570714736658
"BreastCancer","F","ageClass7","yld",156.622186065484
"BreastCancer","F","ageClass7","yll",470.46394336481
"BreastCancer","F","ageClass8","daly",352.912240374247
"BreastCancer","F","ageClass8","deaths",41.1450056256325
"BreastCancer","F","ageClass8","yld",128.47265179739
"BreastCancer","F","ageClass8","yll",224.439588576856
"BreastCancer","M","ageClass1","daly",0
"BreastCancer","M","ageClass1","deaths",0
"BreastCancer","M","ageClass1","yld",0
"BreastCancer","M","ageClass1","yll",0
"BreastCancer","M","ageClass2","daly",0
"BreastCancer","M","ageClass2","deaths",0
"BreastCancer","M","ageClass2","yld",0
"BreastCancer","M","ageClass2","yll",0
"BreastCancer","M","ageClass3","daly",0
"BreastCancer","M","ageClass3","deaths",0
"BreastCancer","M","ageClass3","yld",0
"BreastCancer","M","ageClass3","yll",0
"BreastCancer","M","ageClass4","daly",0
"BreastCancer","M","ageClass4","deaths",0
"BreastCancer","M","ageClass4","yld",0
"BreastCancer","M","ageClass4","yll",0
"BreastCancer","M","ageClass5","daly",0
"BreastCancer","M","ageClass5","deaths",0
"BreastCancer","M","ageClass5","yld",0
"BreastCancer","M","ageClass5","yll",0
"BreastCancer","M","ageClass6","daly",6.66404985607618
"BreastCancer","M","ageClass6","deaths",0.381842179692656
"BreastCancer","M","ageClass6","yld",0
"BreastCancer","M","ageClass6","yll",6.66404985607618
"BreastCancer","M","ageClass7","daly",4.15205985422974
"BreastCancer","M","ageClass7","deaths",0.401859079985329
"BreastCancer","M","ageClass7","yld",0
"BreastCancer","M","ageClass7","yll",4.15205985422974
"BreastCancer","M","ageClass8","daly",3.68954726587556
"BreastCancer","M","ageClass8","deaths",0.950228511866581
"BreastCancer","M","ageClass8","yld",0
"BreastCancer","M","ageClass8","yll",3.68954726587556
"ColonCancer","F","ageClass1","daly",0
"ColonCancer","F","ageClass1","deaths",0
"ColonCancer","F","ageClass1","yld",0
"ColonCancer","F","ageClass1","yll",0
"ColonCancer","F","ageClass2","daly",0
"ColonCancer","F","ageClass2","deaths",0
"ColonCancer","F","ageClass2","yld",0
"ColonCancer","F","ageClass2","yll",0
"ColonCancer","F","ageClass3","daly",0.599602759454533
"ColonCancer","F","ageClass3","deaths",0
"ColonCancer","F","ageClass3","yld",0.599602759454533
"ColonCancer","F","ageClass3","yll",0
"ColonCancer","F","ageClass4","daly",149.301193644381
"ColonCancer","F","ageClass4","deaths",3.2049507076146
"ColonCancer","F","ageClass4","yld",7.2703912207323
"ColonCancer","F","ageClass4","yll",142.030802423649
"ColonCancer","F","ageClass5","daly",364.411762109204
"ColonCancer","F","ageClass5","deaths",11.3478630863621
"ColonCancer","F","ageClass5","yld",18.3992677239375
"ColonCancer","F","ageClass5","yll",346.012494385266
"ColonCancer","F","ageClass6","daly",339.567116982299
"ColonCancer","F","ageClass6","deaths",15.5239296514061
"ColonCancer","F","ageClass6","yld",21.7519516894689
"ColonCancer","F","ageClass6","yll",317.81516529283
"ColonCancer","F","ageClass7","daly",239.350950696256
"ColonCancer","F","ageClass7","deaths",17.9472000214918
"ColonCancer","F","ageClass7","yld",21.3325055106068
"ColonCancer","F","ageClass7","yll",218.018445185649
"ColonCancer","F","ageClass8","daly",230.960262890985
"ColonCancer","F","ageClass8","deaths",37.1437481978187
"ColonCancer","F","ageClass8","yld",30.4662824358465
"ColonCancer","F","ageClass8","yll",200.493980455139
"ColonCancer","M","ageClass1","daly",0
"ColonCancer","M","ageClass1","deaths",0
"ColonCancer","M","ageClass1","yld",0
"ColonCancer","M","ageClass1","yll",0
"ColonCancer","M","ageClass2","daly",0
"ColonCancer","M","ageClass2","deaths",0
"ColonCancer","M","ageClass2","yld",0
"ColonCancer","M","ageClass2","yll",0
"ColonCancer","M","ageClass3","daly",0.731493916142212
"ColonCancer","M","ageClass3","deaths",0
"ColonCancer","M","ageClass3","yld",0.731493916142212
"ColonCancer","M","ageClass3","yll",0
"ColonCancer","M","ageClass4","daly",134.912408112683
"ColonCancer","M","ageClass4","deaths",3.06401831001602
"ColonCancer","M","ageClass4","yld",7.79449470679355
"ColonCancer","M","ageClass4","yll",127.117913405889
"ColonCancer","M","ageClass5","daly",534.204446513917
"ColonCancer","M","ageClass5","deaths",18.3942823361457
"ColonCancer","M","ageClass5","yld",28.0206314102402
"ColonCancer","M","ageClass5","yll",506.183815103676
"ColonCancer","M","ageClass6","daly",358.683594720938
"ColonCancer","M","ageClass6","deaths",19.1532037333836
"ColonCancer","M","ageClass6","yld",25.011377278233
"ColonCancer","M","ageClass6","yll",333.672217442705
"ColonCancer","M","ageClass7","daly",241.640212032338
"ColonCancer","M","ageClass7","deaths",20.7680772536418
"ColonCancer","M","ageClass7","yld",23.4006179525836
"ColonCancer","M","ageClass7","yll",218.239594079754
"ColonCancer","M","ageClass8","daly",127.756655656164
"ColonCancer","M","ageClass8","deaths",22.3873837395766
"ColonCancer","M","ageClass8","yld",18.5274820666286
"ColonCancer","M","ageClass8","yll",109.229173589535
"CVD","F","ageClass1","daly",0.122846605444177
"CVD","F","ageClass1","deaths",0
"CVD","F","ageClass1","yld",0.122846605444177
"CVD","F","ageClass1","yll",0
"CVD","F","ageClass2","daly",0.657419592867616
"CVD","F","ageClass2","deaths",0
"CVD","F","ageClass2","yld",0.657419592867616
"CVD","F","ageClass2","yll",0
"CVD","F","ageClass3","daly",44.7460457265319
"CVD","F","ageClass3","deaths",0.384831556498182
"CVD","F","ageClass3","yld",21.484055664575
"CVD","F","ageClass3","yll",23.2619900619569
"CVD","F","ageClass4","daly",272.037151476749
"CVD","F","ageClass4","deaths",3.64198944047114
"CVD","F","ageClass4","yld",116.583996551265
"CVD","F","ageClass4","yll",155.453154925484
"CVD","F","ageClass5","daly",745.235830190422
"CVD","F","ageClass5","deaths",21.0953865066988
"CVD","F","ageClass5","yld",117.505244026667
"CVD","F","ageClass5","yll",627.730586163754
"CVD","F","ageClass6","daly",1075.11956467805
"CVD","F","ageClass6","deaths",46.1106821328893
"CVD","F","ageClass6","yld",149.359887602429
"CVD","F","ageClass6","yll",925.759677075624
"CVD","F","ageClass7","daly",938.607519507931
"CVD","F","ageClass7","deaths",68.103214367268
"CVD","F","ageClass7","yld",112.591404225918
"CVD","F","ageClass7","yll",826.016115282013
"CVD","F","ageClass8","daly",1694.62522590674
"CVD","F","ageClass8","deaths",320.100594225104
"CVD","F","ageClass8","yld",127.848778144841
"CVD","F","ageClass8","yll",1566.7764477619
"CVD","M","ageClass1","daly",0.305674914467634
"CVD","M","ageClass1","deaths",0
"CVD","M","ageClass1","yld",0.305674914467634
"CVD","M","ageClass1","yll",0
"CVD","M","ageClass2","daly",1.2532306720785
"CVD","M","ageClass2","deaths",0
"CVD","M","ageClass2","yld",1.2532306720785
"CVD","M","ageClass2","yll",0
"CVD","M","ageClass3","daly",126.18963761701
"CVD","M","ageClass3","deaths",1.73420778860899
"CVD","M","ageClass3","yld",31.4339114136454
"CVD","M","ageClass3","yll",94.7557262033643
"CVD","M","ageClass4","daly",487.793169417032
"CVD","M","ageClass4","deaths",10.6287716495771
"CVD","M","ageClass4","yld",50.1061012203614
"CVD","M","ageClass4","yll",437.68706819667
