disease,sex,ageClass,burdenType,value
BreastCancer,M,ageClass1,daly,0
BreastCancer,M,ageClass1,deaths,0
BreastCancer,M,ageClass1,yld,0
BreastCancer,M,ageClass1,yll,0
BreastCancer,M,ageClass2,daly,0
BreastCancer,M,ageClass2,deaths,0
BreastCancer,M,ageClass2,yld,0
BreastCancer,M,ageClass2,yll,0
BreastCancer,M,ageClass3,daly,0
BreastCancer,M,ageClass3,deaths,0
BreastCancer,M,ageClass3,yld,0
BreastCancer,M,ageClass3,yll,0
BreastCancer,M,ageClass4,daly,0
BreastCancer,M,ageClass4,deaths,0
BreastCancer,M,ageClass4,yld,0
BreastCancer,M,ageClass4,yll,0
BreastCancer,M,ageClass5,daly,0
BreastCancer,M,ageClass5,deaths,0
BreastCancer,M,ageClass5,yld,0
BreastCancer,M,ageClass5,yll,0
BreastCancer,M,ageClass6,daly,6.664049856
BreastCancer,M,ageClass6,deaths,0.38184218
BreastCancer,M,ageClass6,yld,0
BreastCancer,M,ageClass6,yll,6.664049856
BreastCancer,M,ageClass7,daly,4.152059854
BreastCancer,M,ageClass7,deaths,0.40185908
BreastCancer,M,ageClass7,yld,0
BreastCancer,M,ageClass7,yll,4.152059854
BreastCancer,M,ageClass8,daly,3.689547266
BreastCancer,M,ageClass8,deaths,0.950228512
BreastCancer,M,ageClass8,yld,0
BreastCancer,M,ageClass8,yll,3.689547266
BreastCancer,F,ageClass1,daly,0
BreastCancer,F,ageClass1,deaths,0
BreastCancer,F,ageClass1,yld,0
BreastCancer,F,ageClass1,yll,0
BreastCancer,F,ageClass2,daly,0
BreastCancer,F,ageClass2,deaths,0
BreastCancer,F,ageClass2,yld,0
BreastCancer,F,ageClass2,yll,0
BreastCancer,F,ageClass3,daly,12.27111326
BreastCancer,F,ageClass3,deaths,0.192415778
BreastCancer,F,ageClass3,yld,1.545934745
BreastCancer,F,ageClass3,yll,10.72517851
BreastCancer,F,ageClass4,daly,362.8056007
BreastCancer,F,ageClass4,deaths,7.101879409
BreastCancer,F,ageClass4,yld,50.28494988
BreastCancer,F,ageClass4,yll,312.5206508
BreastCancer,F,ageClass5,daly,1412.136718
BreastCancer,F,ageClass5,deaths,41.46334589
BreastCancer,F,ageClass5,yld,164.2389403
BreastCancer,F,ageClass5,yll,1247.897778
BreastCancer,F,ageClass6,daly,1268.510041
BreastCancer,F,ageClass6,deaths,51.8745174
