countyName,stateName,stateFIPS,countyFIPS,STCNTY,FIPSnum,msaName,msaFIPS,msaNHTS
Taylor,Texas,48,441,48441,48441,"Abilene, TX MSA",40,
Summit,Ohio,39,153,39153,39153,"Akron, OH PMSA",80,1692
Portage,Ohio,39,133,39133,39133,"Akron, OH PMSA",80,1692
Lee,Georgia,13,177,13177,13177,"Albany, GA MSA",120,
Dougherty,Georgia,13,95,13095,13095,"Albany, GA MSA",120,
Saratoga,New York,36,91,36091,36091,"Albany-Schenectady-Troy, NY MSA",160,
Montgomery,New York,36,57,36057,36057,"Albany-Schenectady-Troy, NY MSA",160,
Rensselaer,New York,36,83,36083,36083,"Albany-Schenectady-Troy, NY MSA",160,
Schenectady,New York,36,93,36093,36093,"Albany-Schenectady-Troy, NY MSA",160,
Schoharie,New York,36,95,36095,36095,"Albany-Schenectady-Troy, NY MSA",160,
Albany,New York,36,1,36001,36001,"Albany-Schenectady-Troy, NY MSA",160,
Sandoval,New Mexico,35,43,35043,35043,"Albuquerque, NM MSA",200,
Bernalillo,New Mexico,35,1,35001,35001,"Albuquerque, NM MSA",200,
Valencia,New Mexico,35,61,35061,35061,"Albuquerque, NM MSA",200,
Rapides,Louisiana,22,79,22079,22079,"Alexandria, LA MSA",220,
Carbon,Pennsylvania,42,25,42025,42025,"Allentown-Bethlehem-Easton, PA MSA",240,
Northampton,Pennsylvania,42,95,42095,42095,"Allentown-Bethlehem-Easton, PA MSA",240,
Lehigh,Pennsylvania,42,77,42077,42077,"Allentown-Bethlehem-Easton, PA MSA",240,
Blair,Pennsylvania,42,13,42013,42013,"Altoona, PA MSA",280,
Potter,Texas,48,375,48375,48375,"Amarillo, TX MSA",320,
Randall,Texas,48,381,48381,48381,"Amarillo, TX MSA",320,
Anchorage,Alaska,2,20,2020,2020,"Anchorage, AK MSA",380,
Livingston,Michigan,26,93,26093,26093,"Ann Arbor, MI PMSA",440,2162
Washtenaw,Michigan,26,161,26161,26161,"Ann Arbor, MI PMSA",440,2162
Lenawee,Michigan,26,91,26091,26091,"Ann Arbor, MI PMSA",440,2162
Calhoun,Alabama,1,15,1015,1015,"Anniston, AL MSA",450,
Outagamie,Wisconsin,55,87,55087,55087,"Appleton-Oshkosh-Neenah, WI MSA",460,
Winnebago,Wisconsin,55,139,55139,55139,"Appleton-Oshkosh-Neenah, WI MSA",460,
Calumet,Wisconsin,55,15,55015,55015,"Appleton-Oshkosh-Neenah, WI MSA",460,
Madison,North Carolina,37,115,37115,37115,"Asheville, NC MSA",480,
Buncombe,North Carolina,37,21,37021,37021,"Asheville, NC MSA",480,
Madison,Georgia,13,195,13195,13195,"Athens, GA MSA",500,
Clarke,Georgia,13,59,13059,13059,"Athens, GA MSA",500,
