sex,ageClass,q1,q2,q3,q4,q5
M,ageClass1,0.00,0.00,0.00,0.00,0.00
M,ageClass2,0.00,0.00,0.00,0.00,0.00
M,ageClass3,57.80,41.00,45.50,37.93,41.00
M,ageClass4,51.25,51.25,64.75,46.13,44.80
M,ageClass5,58.28,61.50,53.73,52.20,46.70
M,ageClass6,41.00,31.25,44.08,42.50,32.80
M,ageClass7,4.38,5.00,8.33,3.75,13.13
M,ageClass8,0.00,10.00,3.75,5.21,0.00
F,ageClass1,0.00,0.00,0.00,0.00,0.00
F,ageClass2,0.00,0.00,0.00,0.00,0.00
F,ageClass3,8.87,24.60,29.85,30.40,41.00
F,ageClass4,41.00,35.88,38.85,41.00,42.27
F,ageClass5,41.65,43.05,46.07,41.00,41.00
F,ageClass6,32.80,18.00,31.75,20.50,4.50
F,ageClass7,5.83,5.00,2.50,3.75,0.00
F,ageClass8,6.50,3.13,0.83,0.00,0.00
