disease,sex,ageClass,burdenType,value
BreastCancer,M,ageClass1,daly,0
BreastCancer,M,ageClass1,deaths,0
BreastCancer,M,ageClass1,yld,0
BreastCancer,M,ageClass1,yll,0
BreastCancer,M,ageClass3,daly,0
BreastCancer,M,ageClass3,deaths,0
BreastCancer,M,ageClass3,yld,0
BreastCancer,M,ageClass3,yll,0
BreastCancer,M,ageClass4,daly,0
BreastCancer,M,ageClass4,deaths,0
BreastCancer,M,ageClass4,yld,0
BreastCancer,M,ageClass4,yll,0
BreastCancer,M,ageClass5,daly,0
BreastCancer,M,ageClass5,deaths,0
BreastCancer,M,ageClass5,yld,0
BreastCancer,M,ageClass5,yll,0
BreastCancer,M,ageClass2,daly,0
BreastCancer,M,ageClass2,deaths,0
BreastCancer,M,ageClass2,yld,0
BreastCancer,M,ageClass2,yll,0
BreastCancer,M,ageClass6,daly,7
BreastCancer,M,ageClass6,deaths,0.382
BreastCancer,M,ageClass6,yld,0
BreastCancer,M,ageClass6,yll,7
BreastCancer,M,ageClass7,daly,4
BreastCancer,M,ageClass7,deaths,0.402
BreastCancer,M,ageClass7,yld,0
BreastCancer,M,ageClass7,yll,4
BreastCancer,M,ageClass8,daly,4
BreastCancer,M,ageClass8,deaths,0.95
BreastCancer,M,ageClass8,yld,0
BreastCancer,M,ageClass8,yll,4
BreastCancer,F,ageClass1,daly,0
BreastCancer,F,ageClass1,deaths,0
BreastCancer,F,ageClass1,yld,0
BreastCancer,F,ageClass1,yll,0
BreastCancer,F,ageClass3,daly,12
BreastCancer,F,ageClass3,deaths,0.192
BreastCancer,F,ageClass3,yld,2
BreastCancer,F,ageClass3,yll,11
BreastCancer,F,ageClass4,daly,331
BreastCancer,F,ageClass4,deaths,6.485
BreastCancer,F,ageClass4,yld,46
BreastCancer,F,ageClass4,yll,285
BreastCancer,F,ageClass5,daly,1327
BreastCancer,F,ageClass5,deaths,38.969
BreastCancer,F,ageClass5,yld,154
BreastCancer,F,ageClass5,yll,1173
BreastCancer,F,ageClass2,daly,0
BreastCancer,F,ageClass2,deaths,0
BreastCancer,F,ageClass2,yld,0
BreastCancer,F,ageClass2,yll,0
BreastCancer,F,ageClass6,daly,1197
BreastCancer,F,ageClass6,deaths,48.96
BreastCancer,F,ageClass6,yld,204
BreastCancer,F,ageClass6,yll,993
BreastCancer,F,ageClass7,daly,599
BreastCancer,F,ageClass7,deaths,35.993
