sex,ageClass,burdenType,disease,value
F,ageClass1,daly,BreastCancer,0
F,ageClass1,deaths,BreastCancer,0
F,ageClass1,yld,BreastCancer,0
F,ageClass1,yll,BreastCancer,0
F,ageClass2,daly,BreastCancer,0
F,ageClass2,deaths,BreastCancer,0
F,ageClass2,yld,BreastCancer,0
F,ageClass2,yll,BreastCancer,0
F,ageClass3,daly,BreastCancer,38.57159393
F,ageClass3,deaths,BreastCancer,0.6
F,ageClass3,yld,BreastCancer,4.932111869
F,ageClass3,yll,BreastCancer,33.63948206
F,ageClass4,daly,BreastCancer,752.6643529
F,ageClass4,deaths,BreastCancer,16.8
F,ageClass4,yld,BreastCancer,57.94463087
F,ageClass4,yll,BreastCancer,694.719722
F,ageClass5,daly,BreastCancer,2782.552528
F,ageClass5,deaths,BreastCancer,92.4
F,ageClass5,yld,BreastCancer,366.0022548
F,ageClass5,yll,BreastCancer,2416.550273
F,ageClass6,daly,BreastCancer,2215.117419
F,ageClass6,deaths,BreastCancer,107
F,ageClass6,yld,BreastCancer,445.9896882
F,ageClass6,yll,BreastCancer,1769.127731
F,ageClass7,daly,BreastCancer,1264.535133
F,ageClass7,deaths,BreastCancer,91.6
F,ageClass7,yld,BreastCancer,380.9800306
F,ageClass7,yll,BreastCancer,883.5551024
F,ageClass8,daly,BreastCancer,733.2366202
F,ageClass8,deaths,BreastCancer,104.8
F,ageClass8,yld,BreastCancer,327.2313056
F,ageClass8,yll,BreastCancer,406.0053146
M,ageClass1,daly,BreastCancer,0
M,ageClass1,deaths,BreastCancer,0
M,ageClass1,yld,BreastCancer,0
M,ageClass1,yll,BreastCancer,0
M,ageClass2,daly,BreastCancer,0
M,ageClass2,deaths,BreastCancer,0
M,ageClass2,yld,BreastCancer,0
M,ageClass2,yll,BreastCancer,0
M,ageClass3,daly,BreastCancer,0
M,ageClass3,deaths,BreastCancer,0
M,ageClass3,yld,BreastCancer,0
M,ageClass3,yll,BreastCancer,0
M,ageClass4,daly,BreastCancer,0
M,ageClass4,deaths,BreastCancer,0
M,ageClass4,yld,BreastCancer,0
M,ageClass4,yll,BreastCancer,0
M,ageClass5,daly,BreastCancer,6.067417713
M,ageClass5,deaths,BreastCancer,0.2
M,ageClass5,yld,BreastCancer,0
M,ageClass5,yll,BreastCancer,6.067417713
M,ageClass6,daly,BreastCancer,17.9914011
M,ageClass6,deaths,BreastCancer,1.2
M,ageClass6,yld,BreastCancer,0
M,ageClass6,yll,BreastCancer,17.9914011
M,ageClass7,daly,BreastCancer,8.74675804
M,ageClass7,deaths,BreastCancer,1
M,ageClass7,yld,BreastCancer,0
M,ageClass7,yll,BreastCancer,8.74675804
M,ageClass8,daly,BreastCancer,5.508785327
M,ageClass8,deaths,BreastCancer,1.6
M,ageClass8,yld,BreastCancer,0
M,ageClass8,yll,BreastCancer,5.508785327
F,ageClass1,daly,ColonCancer,0
F,ageClass1,deaths,ColonCancer,0
F,ageClass1,yld,ColonCancer,0
F,ageClass1,yll,ColonCancer,0
F,ageClass2,daly,ColonCancer,0
F,ageClass2,deaths,ColonCancer,0
F,ageClass2,yld,ColonCancer,0
F,ageClass2,yll,ColonCancer,0
F,ageClass3,daly,ColonCancer,10.50089477
F,ageClass3,deaths,ColonCancer,0.16
F,ageClass3,yld,ColonCancer,1.530366218
F,ageClass3,yll,ColonCancer,8.970528551
F,ageClass4,daly,ColonCancer,325.7954719
F,ageClass4,deaths,ColonCancer,7.52
F,ageClass4,yld,ColonCancer,10.95617883
F,ageClass4,yll,ColonCancer,314.8392931
F,ageClass5,daly,ColonCancer,773.5105548
F,ageClass5,deaths,ColonCancer,27.68
F,ageClass5,yld,ColonCancer,35.90397429
F,ageClass5,yll,ColonCancer,737.6065805
F,ageClass6,daly,ColonCancer,676.2326626
F,ageClass6,deaths,ColonCancer,38.4
F,ageClass6,yld,ColonCancer,43.04451069
F,ageClass6,yll,ColonCancer,633.1881519
F,ageClass7,daly,ColonCancer,422.1596892
F,ageClass7,deaths,ColonCancer,41.12
F,ageClass7,yld,ColonCancer,39.10103528
F,ageClass7,yll,ColonCancer,383.058654
F,ageClass8,daly,ColonCancer,386.3542021
F,ageClass8,deaths,ColonCancer,86.56
F,ageClass8,yld,ColonCancer,56.79903694
F,ageClass8,yll,ColonCancer,329.5551652
M,ageClass1,daly,ColonCancer,0
M,ageClass1,deaths,ColonCancer,0
M,ageClass1,yld,ColonCancer,0
M,ageClass1,yll,ColonCancer,0
M,ageClass2,daly,ColonCancer,0
M,ageClass2,deaths,ColonCancer,0
M,ageClass2,yld,ColonCancer,0
M,ageClass2,yll,ColonCancer,0
M,ageClass3,daly,ColonCancer,17.54998102
M,ageClass3,deaths,ColonCancer,0.304
M,ageClass3,yld,ColonCancer,1.13752566
M,ageClass3,yll,ColonCancer,16.41245536
M,ageClass4,daly,ColonCancer,277.704735
M,ageClass4,deaths,ColonCancer,6.688
M,ageClass4,yld,ColonCancer,11.08922626
M,ageClass4,yll,ColonCancer,266.6155087
M,ageClass5,daly,ColonCancer,900.8072771
M,ageClass5,deaths,ColonCancer,35.416
M,ageClass5,yld,ColonCancer,41.00229542
M,ageClass5,yll,ColonCancer,859.8049817
M,ageClass6,daly,ColonCancer,759.0377096
M,ageClass6,deaths,ColonCancer,49.4
M,ageClass6,yld,ColonCancer,49.02715815
M,ageClass6,yll,ColonCancer,710.0105515
M,ageClass7,daly,ColonCancer,428.1073083
M,ageClass7,deaths,ColonCancer,48.032
M,ageClass7,yld,ColonCancer,41.13157109
M,ageClass7,yll,ColonCancer,386.9757372
M,ageClass8,daly,ColonCancer,220.743446
M,ageClass8,deaths,ColonCancer,54.72
M,ageClass8,yld,ColonCancer,34.41697838
M,ageClass8,yll,ColonCancer,186.3264676
F,ageClass1,daly,CVD,34.836390514
F,ageClass1,deaths,CVD,0.4
F,ageClass1,yld,CVD,1.157927058
F,ageClass1,yll,CVD,33.67846345
F,ageClass2,daly,CVD,33.949503311
F,ageClass2,deaths,CVD,0.4
F,ageClass2,yld,CVD,3.175474772
F,ageClass2,yll,CVD,30.77402854
F,ageClass3,daly,CVD,211.762821779
F,ageClass3,deaths,CVD,2
F,ageClass3,yld,CVD,94.820290969
F,ageClass3,yll,CVD,116.94253079
F,ageClass4,daly,CVD,811.50670323
F,ageClass4,deaths,CVD,13.6
F,ageClass4,yld,CVD,246.594517537
F,ageClass4,yll,CVD,564.91218566
F,ageClass5,daly,CVD,2045.22044786
F,ageClass5,deaths,CVD,65.8
F,ageClass5,yld,CVD,329.478993
F,ageClass5,yll,CVD,1715.74145532
F,ageClass6,daly,CVD,2369.10319574
F,ageClass6,deaths,CVD,123.2
F,ageClass6,yld,CVD,382.39909307
F,ageClass6,yll,CVD,1986.70410301
F,ageClass7,daly,CVD,1984.34817171
F,ageClass7,deaths,CVD,183.2
F,ageClass7,yld,CVD,290.52992572
F,ageClass7,yll,CVD,1693.81824571
F,ageClass8,daly,CVD,3156.4915453
F,ageClass8,deaths,CVD,816.2
F,ageClass8,yld,CVD,333.82412312
F,ageClass8,yll,CVD,2822.6674215
M,ageClass1,daly,CVD,85.348937715
M,ageClass1,deaths,CVD,1
M,ageClass1,yld,CVD,2.680781067
M,ageClass1,yll,CVD,82.66815664
M,ageClass2,daly,CVD,54.569722788
M,ageClass2,deaths,CVD,0.6
M,ageClass2,yld,CVD,11.469707635
M,ageClass2,yll,CVD,43.10001515
M,ageClass3,daly,CVD,501.53575341
M,ageClass3,deaths,CVD,7
M,ageClass3,yld,CVD,103.000716242
M,ageClass3,yll,CVD,398.53503711
M,ageClass4,daly,CVD,1585.61999759
M,ageClass4,deaths,CVD,35.6
M,ageClass4,yld,CVD,174.988198942
M,ageClass4,yll,CVD,1410.63179827
M,ageClass5,daly,CVD,6383.5265647
M,ageClass5,deaths,CVD,242.8
M,ageClass5,yld,CVD,589.7502414
M,ageClass5,yll,CVD,5793.7763238
M,ageClass6,daly,CVD,5567.6263188
M,ageClass6,deaths,CVD,343.8
M,ageClass6,yld,CVD,665.66406984
M,ageClass6,yll,CVD,4901.9622488
M,ageClass7,daly,CVD,3450.33780937
M,ageClass7,deaths,CVD,375.4
M,ageClass7,yld,CVD,489.60813647
M,ageClass7,yll,CVD,2960.72967227
M,ageClass8,daly,CVD,3059.5377469
M,ageClass8,deaths,CVD,794.8
M,ageClass8,yld,CVD,412.81110546
M,ageClass8,yll,CVD,2646.7266416
F,ageClass1,daly,Dementia,16.71439946
F,ageClass1,deaths,Dementia,0.2
F,ageClass1,yld,Dementia,0
F,ageClass1,yll,Dementia,16.71439946
F,ageClass2,daly,Dementia,0
F,ageClass2,deaths,Dementia,0
F,ageClass2,yld,Dementia,0
F,ageClass2,yll,Dementia,0
